Tipo de dato;Partidas de gasto: Nivel 1;Partidas de gasto: Nivel 2;Partidas de gasto: Nivel 3;Periodo;Total
Dato base;Gasto total;;;2026M07;18.217,95
Dato base;Gasto total;;;2026M06;13.579,04
Dato base;Gasto total;;;2026M05;13.553,47
Dato base;Gasto total;;;2026M04;11.685,64
Dato base;Gasto total;;;2026M03;9.606,40
Dato base;Gasto total;;;2026M02;7.606,44
Dato base;Gasto total;;;2026M01;7.804,61
Dato base;Gasto total;;;2025M12;7.993,41
Dato base;Gasto total;;;2025M11;8.087,84
Dato base;Gasto total;;;2025M10;12.803,00
Dato base;Gasto total;;;2025M09;13.404,59
Dato base;Gasto total;;;2025M08;16.341,58
Dato base;Gasto total;;;2025M07;16.432,61
Dato base;Gasto total;;;2025M06;13.050,58
Dato base;Gasto total;;;2025M05;12.226,41
Dato base;Gasto total;;;2025M04;10.875,75
Dato base;Gasto total;;;2025M03;9.112,01
Dato base;Gasto total;;;2025M02;7.272,63
Dato base;Gasto total;;;2025M01;7.142,91
Dato base;Gasto total;;;2024M12;7.590,34
Dato base;Gasto total;;;2024M11;7.707,67
Dato base;Gasto total;;;2024M10;11.898,70
Dato base;Gasto total;;;2024M09;12.613,05
Dato base;Gasto total;;;2024M08;15.364,42
Dato base;Gasto total;;;2024M07;15.513,29
Dato base;Gasto total;;;2024M06;12.356,78
Dato base;Gasto total;;;2024M05;11.686,91
Dato base;Gasto total;;;2024M04;9.488,10
Dato base;Gasto total;;;2024M03;8.631,35
Dato base;Gasto total;;;2024M02;6.746,32
Dato base;Gasto total;;;2024M01;6.546,30
Dato base;Gasto total;;;2023M12;7.090,50
Dato base;Gasto total;;;2023M11;6.644,47
Dato base;Gasto total;;;2023M10;10.302,07
Dato base;Gasto total;;;2023M09;11.193,59
Dato base;Gasto total;;;2023M08;13.599,39
Dato base;Gasto total;;;2023M07;13.880,83
Dato base;Gasto total;;;2023M06;10.607,99
Dato base;Gasto total;;;2023M05;9.766,97
Dato base;Gasto total;;;2023M04;8.454,47
Dato base;Gasto total;;;2023M03;6.668,07
Dato base;Gasto total;;;2023M02;5.364,13
Dato base;Gasto total;;;2023M01;5.216,94
Dato base;Gasto total;;;2022M12;5.238,80
Dato base;Gasto total;;;2022M11;5.381,97
Dato base;Gasto total;;;2022M10;8.311,20
Dato base;Gasto total;;;2022M09;9.147,69
Dato base;Gasto total;;;2022M08;11.281,82
Dato base;Gasto total;;;2022M07;11.902,10
Dato base;Gasto total;;;2022M06;9.025,67
Dato base;Gasto total;;;2022M05;8.046,91
Dato base;Gasto total;;;2022M04;6.910,11
Dato base;Gasto total;;;2022M03;5.077,45
Dato base;Gasto total;;;2022M02;3.774,69
Dato base;Gasto total;;;2022M01;3.039,78
Dato base;Gasto total;;;2021M12;3.536,59
Dato base;Gasto total;;;2021M11;3.761,50
Dato base;Gasto total;;;2021M10;5.606,29
Dato base;Gasto total;;;2021M09;5.051,20
Dato base;Gasto total;;;2021M08;5.907,30
Dato base;Gasto total;;;2021M07;5.229,47
Dato base;Gasto total;;;2021M06;2.421,69
Dato base;Gasto total;;;2021M05;1.395,78
Dato base;Gasto total;;;2021M04;668,42
Dato base;Gasto total;;;2021M03;543,89
Dato base;Gasto total;;;2021M02;323,82
Dato base;Gasto total;;;2021M01;457,43
Dato base;Gasto total;;;2020M12;696,81
Dato base;Gasto total;;;2020M11;481,98
Dato base;Gasto total;;;2020M10;864,49
Dato base;Gasto total;;;2020M09;964,49
Dato base;Gasto total;;;2020M08;2.456,85
Dato base;Gasto total;;;2020M07;2.457,94
Dato base;Gasto total;;;2020M06;133,89
Dato base;Gasto total;;;2020M05;0,00
Dato base;Gasto total;;;2020M04;0,00
Dato base;Gasto total;;;2020M03;2.173,73
Dato base;Gasto total;;;2020M02;4.789,29
Dato base;Gasto total;;;2020M01;4.767,31
Dato base;Gasto total;;;2019M12;5.010,84
Dato base;Gasto total;;;2019M11;5.062,63
Dato base;Gasto total;;;2019M10;8.322,55
Dato base;Gasto total;;;2019M09;9.617,21
Dato base;Gasto total;;;2019M08;11.704,76
Dato base;Gasto total;;;2019M07;11.941,51
Dato base;Gasto total;;;2019M06;9.686,12
Dato base;Gasto total;;;2019M05;8.137,84
Dato base;Gasto total;;;2019M04;7.056,36
Dato base;Gasto total;;;2019M03;6.034,87
Dato base;Gasto total;;;2019M02;4.658,61
Dato base;Gasto total;;;2019M01;4.678,67
Dato base;Gasto total;;;2018M12;5.009,52
Dato base;Gasto total;;;2018M11;4.888,55
Dato base;Gasto total;;;2018M10;8.164,58
Dato base;Gasto total;;;2018M09;9.545,81
Dato base;Gasto total;;;2018M08;11.459,69
Dato base;Gasto total;;;2018M07;11.748,10
Dato base;Gasto total;;;2018M06;9.370,81
Dato base;Gasto total;;;2018M05;8.155,06
Dato base;Gasto total;;;2018M04;6.621,53
Dato base;Gasto total;;;2018M03;5.726,73
Dato base;Gasto total;;;2018M02;4.535,94
Dato base;Gasto total;;;2018M01;4.524,43
Dato base;Gasto total;;;2017M12;4.530,66
Dato base;Gasto total;;;2017M11;4.642,35
Dato base;Gasto total;;;2017M10;7.789,23
Dato base;Gasto total;;;2017M09;9.476,29
Dato base;Gasto total;;;2017M08;11.340,29
Dato base;Gasto total;;;2017M07;11.850,99
Dato base;Gasto total;;;2017M06;8.987,77
Dato base;Gasto total;;;2017M05;7.927,07
Dato base;Gasto total;;;2017M04;6.782,08
Dato base;Gasto total;;;2017M03;5.109,49
Dato base;Gasto total;;;2017M02;4.304,73
Dato base;Gasto total;;;2017M01;4.262,99
Dato base;Gasto total;;;2016M12;4.525,45
Dato base;Gasto total;;;2016M11;4.205,06
Dato base;Gasto total;;;2016M10;7.333,85
Dato base;Gasto total;;;2016M09;8.399,31
Dato base;Gasto total;;;2016M08;10.281,98
Dato base;Gasto total;;;2016M07;10.238,54
Dato base;Gasto total;;;2016M06;7.817,41
Dato base;Gasto total;;;2016M05;6.917,93
Dato base;Gasto total;;;2016M04;5.627,99
Dato base;Gasto total;;;2016M03;4.624,47
Dato base;Gasto total;;;2016M02;3.706,27
Dato base;Gasto total;;;2016M01;3.737,26
Dato base;Gasto total;;;2015M12;3.773,27
Dato base;Gasto total;;;2015M11;3.872,84
Dato base;Gasto total;;;2015M10;6.280,63
Dato base;Gasto total;Gasto en paquete turístico;;2026M07;3.515,93
Dato base;Gasto total;Gasto en paquete turístico;;2026M06;2.487,30
Dato base;Gasto total;Gasto en paquete turístico;;2026M05;2.335,38
Dato base;Gasto total;Gasto en paquete turístico;;2026M04;1.705,08
Dato base;Gasto total;Gasto en paquete turístico;;2026M03;1.336,38
Dato base;Gasto total;Gasto en paquete turístico;;2026M02;1.099,17
Dato base;Gasto total;Gasto en paquete turístico;;2026M01;1.042,07
Dato base;Gasto total;Gasto en paquete turístico;;2025M12;1.007,13
Dato base;Gasto total;Gasto en paquete turístico;;2025M11;1.197,07
Dato base;Gasto total;Gasto en paquete turístico;;2025M10;2.302,63
Dato base;Gasto total;Gasto en paquete turístico;;2025M09;2.423,10
Dato base;Gasto total;Gasto en paquete turístico;;2025M08;2.996,16
Dato base;Gasto total;Gasto en paquete turístico;;2025M07;2.953,91
Dato base;Gasto total;Gasto en paquete turístico;;2025M06;2.262,15
Dato base;Gasto total;Gasto en paquete turístico;;2025M05;2.029,20
Dato base;Gasto total;Gasto en paquete turístico;;2025M04;1.593,37
Dato base;Gasto total;Gasto en paquete turístico;;2025M03;1.340,17
Dato base;Gasto total;Gasto en paquete turístico;;2025M02;1.087,53
Dato base;Gasto total;Gasto en paquete turístico;;2025M01;994,33
Dato base;Gasto total;Gasto en paquete turístico;;2024M12;973,95
Dato base;Gasto total;Gasto en paquete turístico;;2024M11;1.061,83
Dato base;Gasto total;Gasto en paquete turístico;;2024M10;2.188,05
Dato base;Gasto total;Gasto en paquete turístico;;2024M09;2.419,41
Dato base;Gasto total;Gasto en paquete turístico;;2024M08;2.851,99
Dato base;Gasto total;Gasto en paquete turístico;;2024M07;2.811,29
Dato base;Gasto total;Gasto en paquete turístico;;2024M06;2.127,76
Dato base;Gasto total;Gasto en paquete turístico;;2024M05;1.931,34
Dato base;Gasto total;Gasto en paquete turístico;;2024M04;1.374,06
Dato base;Gasto total;Gasto en paquete turístico;;2024M03;1.405,41
Dato base;Gasto total;Gasto en paquete turístico;;2024M02;1.017,67
Dato base;Gasto total;Gasto en paquete turístico;;2024M01;918,55
Dato base;Gasto total;Gasto en paquete turístico;;2023M12;1.031,72
Dato base;Gasto total;Gasto en paquete turístico;;2023M11;1.008,42
Dato base;Gasto total;Gasto en paquete turístico;;2023M10;1.860,85
Dato base;Gasto total;Gasto en paquete turístico;;2023M09;2.229,46
Dato base;Gasto total;Gasto en paquete turístico;;2023M08;2.461,66
Dato base;Gasto total;Gasto en paquete turístico;;2023M07;2.372,84
Dato base;Gasto total;Gasto en paquete turístico;;2023M06;1.896,79
Dato base;Gasto total;Gasto en paquete turístico;;2023M05;1.672,07
Dato base;Gasto total;Gasto en paquete turístico;;2023M04;1.273,52
Dato base;Gasto total;Gasto en paquete turístico;;2023M03;1.040,33
Dato base;Gasto total;Gasto en paquete turístico;;2023M02;791,05
Dato base;Gasto total;Gasto en paquete turístico;;2023M01;747,22
Dato base;Gasto total;Gasto en paquete turístico;;2022M12;768,45
Dato base;Gasto total;Gasto en paquete turístico;;2022M11;816,63
Dato base;Gasto total;Gasto en paquete turístico;;2022M10;1.464,51
Dato base;Gasto total;Gasto en paquete turístico;;2022M09;1.847,74
Dato base;Gasto total;Gasto en paquete turístico;;2022M08;2.298,38
Dato base;Gasto total;Gasto en paquete turístico;;2022M07;2.069,44
Dato base;Gasto total;Gasto en paquete turístico;;2022M06;1.504,36
Dato base;Gasto total;Gasto en paquete turístico;;2022M05;1.425,02
Dato base;Gasto total;Gasto en paquete turístico;;2022M04;972,49
Dato base;Gasto total;Gasto en paquete turístico;;2022M03;780,41
Dato base;Gasto total;Gasto en paquete turístico;;2022M02;547,83
Dato base;Gasto total;Gasto en paquete turístico;;2022M01;422,79
Dato base;Gasto total;Gasto en paquete turístico;;2021M12;579,18
Dato base;Gasto total;Gasto en paquete turístico;;2021M11;605,45
Dato base;Gasto total;Gasto en paquete turístico;;2021M10;953,59
Dato base;Gasto total;Gasto en paquete turístico;;2021M09;822,85
Dato base;Gasto total;Gasto en paquete turístico;;2021M08;878,71
Dato base;Gasto total;Gasto en paquete turístico;;2021M07;724,28
Dato base;Gasto total;Gasto en paquete turístico;;2021M06;292,21
Dato base;Gasto total;Gasto en paquete turístico;;2021M05;123,44
Dato base;Gasto total;Gasto en paquete turístico;;2021M04;60,18
Dato base;Gasto total;Gasto en paquete turístico;;2021M03;42,03
Dato base;Gasto total;Gasto en paquete turístico;;2021M02;30,43
Dato base;Gasto total;Gasto en paquete turístico;;2021M01;49,55
Dato base;Gasto total;Gasto en paquete turístico;;2020M12;95,51
Dato base;Gasto total;Gasto en paquete turístico;;2020M11;74,24
Dato base;Gasto total;Gasto en paquete turístico;;2020M10;74,83
Dato base;Gasto total;Gasto en paquete turístico;;2020M09;84,72
Dato base;Gasto total;Gasto en paquete turístico;;2020M08;377,45
Dato base;Gasto total;Gasto en paquete turístico;;2020M07;331,91
Dato base;Gasto total;Gasto en paquete turístico;;2020M06;10,73
Dato base;Gasto total;Gasto en paquete turístico;;2020M05;0,00
Dato base;Gasto total;Gasto en paquete turístico;;2020M04;0,00
Dato base;Gasto total;Gasto en paquete turístico;;2020M03;375,10
Dato base;Gasto total;Gasto en paquete turístico;;2020M02;889,14
Dato base;Gasto total;Gasto en paquete turístico;;2020M01;882,59
Dato base;Gasto total;Gasto en paquete turístico;;2019M12;879,41
Dato base;Gasto total;Gasto en paquete turístico;;2019M11;1.010,75
Dato base;Gasto total;Gasto en paquete turístico;;2019M10;1.820,94
Dato base;Gasto total;Gasto en paquete turístico;;2019M09;1.967,48
Dato base;Gasto total;Gasto en paquete turístico;;2019M08;2.368,63
Dato base;Gasto total;Gasto en paquete turístico;;2019M07;2.636,39
Dato base;Gasto total;Gasto en paquete turístico;;2019M06;2.151,50
Dato base;Gasto total;Gasto en paquete turístico;;2019M05;1.767,51
Dato base;Gasto total;Gasto en paquete turístico;;2019M04;1.279,76
Dato base;Gasto total;Gasto en paquete turístico;;2019M03;1.024,33
Dato base;Gasto total;Gasto en paquete turístico;;2019M02;818,30
Dato base;Gasto total;Gasto en paquete turístico;;2019M01;784,11
Dato base;Gasto total;Gasto en paquete turístico;;2018M12;780,94
Dato base;Gasto total;Gasto en paquete turístico;;2018M11;923,30
Dato base;Gasto total;Gasto en paquete turístico;;2018M10;1.898,22
Dato base;Gasto total;Gasto en paquete turístico;;2018M09;2.125,39
Dato base;Gasto total;Gasto en paquete turístico;;2018M08;2.521,94
Dato base;Gasto total;Gasto en paquete turístico;;2018M07;2.497,86
Dato base;Gasto total;Gasto en paquete turístico;;2018M06;2.150,22
Dato base;Gasto total;Gasto en paquete turístico;;2018M05;1.831,93
Dato base;Gasto total;Gasto en paquete turístico;;2018M04;1.297,28
Dato base;Gasto total;Gasto en paquete turístico;;2018M03;1.130,81
Dato base;Gasto total;Gasto en paquete turístico;;2018M02;878,58
Dato base;Gasto total;Gasto en paquete turístico;;2018M01;852,97
Dato base;Gasto total;Gasto en paquete turístico;;2017M12;844,30
Dato base;Gasto total;Gasto en paquete turístico;;2017M11;930,51
Dato base;Gasto total;Gasto en paquete turístico;;2017M10;1.711,24
Dato base;Gasto total;Gasto en paquete turístico;;2017M09;2.058,65
Dato base;Gasto total;Gasto en paquete turístico;;2017M08;2.431,23
Dato base;Gasto total;Gasto en paquete turístico;;2017M07;2.451,02
Dato base;Gasto total;Gasto en paquete turístico;;2017M06;2.073,25
Dato base;Gasto total;Gasto en paquete turístico;;2017M05;1.648,65
Dato base;Gasto total;Gasto en paquete turístico;;2017M04;1.354,59
Dato base;Gasto total;Gasto en paquete turístico;;2017M03;1.034,50
Dato base;Gasto total;Gasto en paquete turístico;;2017M02;807,93
Dato base;Gasto total;Gasto en paquete turístico;;2017M01;789,77
Dato base;Gasto total;Gasto en paquete turístico;;2016M12;785,72
Dato base;Gasto total;Gasto en paquete turístico;;2016M11;784,73
Dato base;Gasto total;Gasto en paquete turístico;;2016M10;1.641,14
Dato base;Gasto total;Gasto en paquete turístico;;2016M09;1.829,42
Dato base;Gasto total;Gasto en paquete turístico;;2016M08;2.340,66
Dato base;Gasto total;Gasto en paquete turístico;;2016M07;2.540,61
Dato base;Gasto total;Gasto en paquete turístico;;2016M06;1.814,99
Dato base;Gasto total;Gasto en paquete turístico;;2016M05;1.620,45
Dato base;Gasto total;Gasto en paquete turístico;;2016M04;1.134,48
Dato base;Gasto total;Gasto en paquete turístico;;2016M03;993,11
Dato base;Gasto total;Gasto en paquete turístico;;2016M02;740,68
Dato base;Gasto total;Gasto en paquete turístico;;2016M01;745,47
Dato base;Gasto total;Gasto en paquete turístico;;2015M12;729,82
Dato base;Gasto total;Gasto en paquete turístico;;2015M11;773,11
Dato base;Gasto total;Gasto en paquete turístico;;2015M10;1.376,29
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M07;14.702,03
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M06;11.091,74
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M05;11.218,09
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M04;9.980,56
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M03;8.270,02
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M02;6.507,27
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2026M01;6.762,54
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M12;6.986,28
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M11;6.890,76
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M10;10.500,37
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M09;10.981,49
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M08;13.345,42
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M07;13.478,71
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M06;10.788,43
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M05;10.197,22
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M04;9.282,38
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M03;7.771,84
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M02;6.185,11
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2025M01;6.148,58
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M12;6.616,39
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M11;6.645,84
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M10;9.710,65
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M09;10.193,64
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M08;12.512,43
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M07;12.701,99
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M06;10.229,02
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M05;9.755,58
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M04;8.114,04
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M03;7.225,95
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M02;5.728,64
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2024M01;5.627,75
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M12;6.058,79
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M11;5.636,05
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M10;8.441,21
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M09;8.964,13
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M08;11.137,73
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M07;11.507,99
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M06;8.711,20
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M05;8.094,89
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M04;7.180,95
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M03;5.627,74
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M02;4.573,08
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2023M01;4.469,73
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M12;4.470,35
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M11;4.565,34
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M10;6.846,69
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M09;7.299,95
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M08;8.983,44
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M07;9.832,66
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M06;7.521,32
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M05;6.621,89
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M04;5.937,62
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M03;4.297,04
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M02;3.226,86
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2022M01;2.616,99
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M12;2.957,41
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M11;3.156,05
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M10;4.652,70
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M09;4.228,34
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M08;5.028,59
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M07;4.505,19
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M06;2.129,48
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M05;1.272,33
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M04;608,24
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M03;501,86
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M02;293,39
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2021M01;407,88
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M12;601,30
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M11;407,74
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M10;789,66
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M09;879,77
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M08;2.079,40
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M07;2.126,03
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M06;123,17
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M05;0,00
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M04;0,00
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M03;1.798,62
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M02;3.900,15
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2020M01;3.884,72
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M12;4.131,43
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M11;4.051,88
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M10;6.501,61
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M09;7.649,73
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M08;9.336,13
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M07;9.305,11
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M06;7.534,63
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M05;6.370,32
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M04;5.776,60
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M03;5.010,55
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M02;3.840,31
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2019M01;3.894,55
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M12;4.228,58
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M11;3.965,25
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M10;6.266,36
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M09;7.420,41
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M08;8.937,75
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M07;9.250,23
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M06;7.220,59
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M05;6.323,13
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M04;5.324,25
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M03;4.595,91
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M02;3.657,36
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2018M01;3.671,46
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M12;3.686,36
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M11;3.711,83
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M10;6.077,99
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M09;7.417,64
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M08;8.909,06
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M07;9.399,97
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M06;6.914,52
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M05;6.278,42
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M04;5.427,49
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M03;4.075,00
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M02;3.496,80
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2017M01;3.473,22
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M12;3.739,74
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M11;3.420,33
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M10;5.692,71
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M09;6.569,89
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M08;7.941,32
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M07;7.697,93
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M06;6.002,42
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M05;5.297,48
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M04;4.493,52
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M03;3.631,36
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M02;2.965,60
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2016M01;2.991,79
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2015M12;3.043,45
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2015M11;3.099,73
Dato base;Gasto total;Gasto no incluido en paquete turístico;;2015M10;4.904,34
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M07;3.489,82
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M06;2.779,42
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M05;2.818,35
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M04;2.437,87
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M03;2.176,65
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M02;1.782,98
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2026M01;1.769,10
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M12;1.598,20
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M11;1.812,66
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M10;2.633,94
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M09;2.683,68
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M08;2.957,40
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M07;3.092,82
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M06;2.593,82
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M05;2.572,57
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M04;2.309,70
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M03;2.006,24
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M02;1.605,96
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2025M01;1.605,04
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M12;1.537,99
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M11;1.742,71
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M10;2.476,24
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M09;2.467,57
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M08;2.659,71
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M07;2.880,32
Dato base;Gasto total;Gasto no incluido en paquete turístico;Gasto en transporte internacional;2024M06;2.647,05
