Via de acceso;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;Tasa de variación anual;Gasto total;2025M11;4,93
Total;Tasa de variación anual;Gasto total;2025M10;7,60
Total;Tasa de variación anual;Gasto total;2025M09;6,28
Total;Tasa de variación anual;Gasto total;2025M08;6,36
Total;Tasa de variación anual;Gasto total;2025M07;5,93
Total;Tasa de variación anual;Gasto total;2025M06;5,61
Total;Tasa de variación anual;Gasto total;2025M05;4,62
Total;Tasa de variación anual;Gasto total;2025M04;14,63
Total;Tasa de variación anual;Gasto total;2025M03;5,57
Total;Tasa de variación anual;Gasto total;2025M02;7,80
Total;Tasa de variación anual;Gasto total;2025M01;9,11
Total;Tasa de variación anual;Gasto total;2024M12;7,05
Total;Tasa de variación anual;Gasto total;2024M11;16,00
Total;Tasa de variación anual;Gasto total;2024M10;15,50
Total;Tasa de variación anual;Gasto total;2024M09;12,68
Total;Tasa de variación anual;Gasto total;2024M08;12,98
Total;Tasa de variación anual;Gasto total;2024M07;11,76
Total;Tasa de variación anual;Gasto total;2024M06;16,49
Total;Tasa de variación anual;Gasto total;2024M05;19,66
Total;Tasa de variación anual;Gasto total;2024M04;12,23
Total;Tasa de variación anual;Gasto total;2024M03;29,44
Total;Tasa de variación anual;Gasto total;2024M02;25,77
Total;Tasa de variación anual;Gasto total;2024M01;25,48
Total;Tasa de variación anual;Gasto total;2023M12;35,35
Total;Tasa de variación anual;Gasto total;2023M11;23,46
Total;Tasa de variación anual;Gasto total;2023M10;23,95
Total;Tasa de variación anual;Gasto total;2023M09;22,37
Total;Tasa de variación anual;Gasto total;2023M08;20,54
Total;Tasa de variación anual;Gasto total;2023M07;16,63
Total;Tasa de variación anual;Gasto total;2023M06;17,53
Total;Tasa de variación anual;Gasto total;2023M05;21,38
Total;Tasa de variación anual;Gasto total;2023M04;22,35
Total;Tasa de variación anual;Gasto total;2023M03;31,33
Total;Tasa de variación anual;Gasto total;2023M02;42,11
Total;Tasa de variación anual;Gasto total;2023M01;71,62
Total;Tasa de variación anual;Gasto total;2022M12;48,13
Total;Tasa de variación anual;Gasto total;2022M11;43,08
Total;Tasa de variación anual;Gasto total;2022M10;48,25
Total;Tasa de variación anual;Gasto total;2022M09;81,10
Total;Tasa de variación anual;Gasto total;2022M08;90,98
Total;Tasa de variación anual;Gasto total;2022M07;127,60
Total;Tasa de variación anual;Gasto total;2022M06;272,70
Total;Tasa de variación anual;Gasto total;2022M05;476,52
Total;Tasa de variación anual;Gasto total;2022M04;933,80
Total;Tasa de variación anual;Gasto total;2022M03;833,54
Total;Tasa de variación anual;Gasto total;2022M02;1.065,68
Total;Tasa de variación anual;Gasto total;2022M01;564,53
Total;Tasa de variación anual;Gasto total;2021M12;407,54
Total;Tasa de variación anual;Gasto total;2021M11;680,43
Total;Tasa de variación anual;Gasto total;2021M10;548,51
Total;Tasa de variación anual;Gasto total;2021M09;423,72
Total;Tasa de variación anual;Gasto total;2021M08;140,44
Total;Tasa de variación anual;Gasto total;2021M07;112,76
Total;Tasa de variación anual;Gasto total;2021M06;1.708,65
Total;Tasa de variación anual;Gasto total;2021M05;..
Total;Tasa de variación anual;Gasto total;2021M04;..
Total;Tasa de variación anual;Gasto total;2021M03;-74,98
Total;Tasa de variación anual;Gasto total;2021M02;-93,24
Total;Tasa de variación anual;Gasto total;2021M01;-90,40
Total;Tasa de variación anual;Gasto total;2020M12;-86,09
Total;Tasa de variación anual;Gasto total;2020M11;-90,48
Total;Tasa de variación anual;Gasto total;2020M10;-89,61
Total;Tasa de variación anual;Gasto total;2020M09;-89,97
Total;Tasa de variación anual;Gasto total;2020M08;-79,01
Total;Tasa de variación anual;Gasto total;2020M07;-79,42
Total;Tasa de variación anual;Gasto total;2020M06;-98,62
Total;Tasa de variación anual;Gasto total;2020M05;-100,00
Total;Tasa de variación anual;Gasto total;2020M04;-100,00
Total;Tasa de variación anual;Gasto total;2020M03;-63,98
Total;Tasa de variación anual;Gasto total;2020M02;2,81
Total;Tasa de variación anual;Gasto total;2020M01;1,89
Total;Tasa de variación anual;Gasto total;2019M12;0,03
Total;Tasa de variación anual;Gasto total;2019M11;3,56
Total;Tasa de variación anual;Gasto total;2019M10;1,93
Total;Tasa de variación anual;Gasto total;2019M09;0,75
Total;Tasa de variación anual;Gasto total;2019M08;2,14
Total;Tasa de variación anual;Gasto total;2019M07;1,65
Total;Tasa de variación anual;Gasto total;2019M06;3,36
Total;Tasa de variación anual;Gasto total;2019M05;-0,21
Total;Tasa de variación anual;Gasto total;2019M04;6,57
Total;Tasa de variación anual;Gasto total;2019M03;5,38
Total;Tasa de variación anual;Gasto total;2019M02;2,70
Total;Tasa de variación anual;Gasto total;2019M01;3,41
Total;Tasa de variación anual;Gasto total;2018M12;10,57
Total;Tasa de variación anual;Gasto total;2018M11;5,30
Total;Tasa de variación anual;Gasto total;2018M10;4,82
Total;Tasa de variación anual;Gasto total;2018M09;0,73
Total;Tasa de variación anual;Gasto total;2018M08;1,05
Total;Tasa de variación anual;Gasto total;2018M07;-0,87
Total;Tasa de variación anual;Gasto total;2018M06;4,26
Total;Tasa de variación anual;Gasto total;2018M05;2,88
Total;Tasa de variación anual;Gasto total;2018M04;-2,37
Total;Tasa de variación anual;Gasto total;2018M03;12,08
Total;Tasa de variación anual;Gasto total;2018M02;5,37
Total;Tasa de variación anual;Gasto total;2018M01;6,13
Total;Tasa de variación anual;Gasto total;2017M12;0,11
Total;Tasa de variación anual;Gasto total;2017M11;10,40
Total;Tasa de variación anual;Gasto total;2017M10;6,21
Total;Tasa de variación anual;Gasto total;2017M09;12,82
Total;Tasa de variación anual;Gasto total;2017M08;10,29
Total;Tasa de variación anual;Gasto total;2017M07;15,75
Total;Tasa de variación anual;Gasto total;2017M06;14,97
Total;Tasa de variación anual;Gasto total;2017M05;14,59
Total;Tasa de variación anual;Gasto total;2017M04;20,51
Total;Tasa de variación anual;Gasto total;2017M03;10,49
Total;Tasa de variación anual;Gasto total;2017M02;16,15
Total;Tasa de variación anual;Gasto total;2017M01;14,07
Total;Tasa de variación anual;Gasto total;2016M12;19,93
Total;Tasa de variación anual;Gasto total;2016M11;8,58
Total;Tasa de variación anual;Gasto total;2016M10;16,77
Total;Tasa de variación anual;Gasto total;2016M09;10,30
Total;Tasa de variación anual;Gasto total;2016M08;4,13
Total;Tasa de variación anual;Gasto total;2016M07;7,75
Total;Tasa de variación anual;Gasto total;2016M06;12,77
Total;Tasa de variación anual;Gasto total;2016M05;8,54
Total;Tasa de variación anual;Gasto total;2016M04;4,22
Total;Tasa de variación anual;Gasto total;2016M03;9,43
Total;Tasa de variación anual;Gasto total;2016M02;8,02
Total;Tasa de variación anual;Gasto total;2016M01;3,62
Total;Tasa de variación anual;Gasto total;2015M12;9,42
Total;Tasa de variación anual;Gasto total;2015M11;12,19
Total;Tasa de variación anual;Gasto total;2015M10;4,06
Total;Tasa de variación anual;Gasto medio por persona;2026M07;5,94
Total;Tasa de variación anual;Gasto medio por persona;2026M06;1,13
Total;Tasa de variación anual;Gasto medio por persona;2026M05;1,25
Total;Tasa de variación anual;Gasto medio por persona;2026M04;2,10
Total;Tasa de variación anual;Gasto medio por persona;2026M03;2,09
Total;Tasa de variación anual;Gasto medio por persona;2026M02;1,72
Total;Tasa de variación anual;Gasto medio por persona;2026M01;7,98
Total;Tasa de variación anual;Gasto medio por persona;2025M12;5,05
Total;Tasa de variación anual;Gasto medio por persona;2025M11;3,03
Total;Tasa de variación anual;Gasto medio por persona;2025M10;4,20
Total;Tasa de variación anual;Gasto medio por persona;2025M09;5,01
Total;Tasa de variación anual;Gasto medio por persona;2025M08;3,54
Total;Tasa de variación anual;Gasto medio por persona;2025M07;4,25
Total;Tasa de variación anual;Gasto medio por persona;2025M06;3,68
Total;Tasa de variación anual;Gasto medio por persona;2025M05;3,33
Total;Tasa de variación anual;Gasto medio por persona;2025M04;3,70
Total;Tasa de variación anual;Gasto medio por persona;2025M03;1,66
Total;Tasa de variación anual;Gasto medio por persona;2025M02;-0,21
Total;Tasa de variación anual;Gasto medio por persona;2025M01;2,84
Total;Tasa de variación anual;Gasto medio por persona;2024M12;5,93
Total;Tasa de variación anual;Gasto medio por persona;2024M11;5,06
Total;Tasa de variación anual;Gasto medio por persona;2024M10;5,51
Total;Tasa de variación anual;Gasto medio por persona;2024M09;3,22
Total;Tasa de variación anual;Gasto medio por persona;2024M08;5,29
Total;Tasa de variación anual;Gasto medio por persona;2024M07;4,19
Total;Tasa de variación anual;Gasto medio por persona;2024M06;4,06
Total;Tasa de variación anual;Gasto medio por persona;2024M05;7,30
Total;Tasa de variación anual;Gasto medio por persona;2024M04;4,21
Total;Tasa de variación anual;Gasto medio por persona;2024M03;6,96
Total;Tasa de variación anual;Gasto medio por persona;2024M02;8,39
Total;Tasa de variación anual;Gasto medio por persona;2024M01;8,65
Total;Tasa de variación anual;Gasto medio por persona;2023M12;7,24
Total;Tasa de variación anual;Gasto medio por persona;2023M11;4,21
Total;Tasa de variación anual;Gasto medio por persona;2023M10;8,66
Total;Tasa de variación anual;Gasto medio por persona;2023M09;8,06
Total;Tasa de variación anual;Gasto medio por persona;2023M08;4,71
Total;Tasa de variación anual;Gasto medio por persona;2023M07;4,80
Total;Tasa de variación anual;Gasto medio por persona;2023M06;6,08
Total;Tasa de variación anual;Gasto medio por persona;2023M05;2,19
Total;Tasa de variación anual;Gasto medio por persona;2023M04;3,36
Total;Tasa de variación anual;Gasto medio por persona;2023M03;1,10
Total;Tasa de variación anual;Gasto medio por persona;2023M02;4,57
Total;Tasa de variación anual;Gasto medio por persona;2023M01;3,82
Total;Tasa de variación anual;Gasto medio por persona;2022M12;5,79
Total;Tasa de variación anual;Gasto medio por persona;2022M11;10,97
Total;Tasa de variación anual;Gasto medio por persona;2022M10;6,35
Total;Tasa de variación anual;Gasto medio por persona;2022M09;9,68
Total;Tasa de variación anual;Gasto medio por persona;2022M08;12,16
Total;Tasa de variación anual;Gasto medio por persona;2022M07;10,13
Total;Tasa de variación anual;Gasto medio por persona;2022M06;10,17
Total;Tasa de variación anual;Gasto medio por persona;2022M05;12,46
Total;Tasa de variación anual;Gasto medio por persona;2022M04;6,52
Total;Tasa de variación anual;Gasto medio por persona;2022M03;13,57
Total;Tasa de variación anual;Gasto medio por persona;2022M02;4,49
Total;Tasa de variación anual;Gasto medio por persona;2022M01;16,35
Total;Tasa de variación anual;Gasto medio por persona;2021M12;11,75
Total;Tasa de variación anual;Gasto medio por persona;2021M11;6,04
Total;Tasa de variación anual;Gasto medio por persona;2021M10;28,57
Total;Tasa de variación anual;Gasto medio por persona;2021M09;26,80
Total;Tasa de variación anual;Gasto medio por persona;2021M08;12,94
Total;Tasa de variación anual;Gasto medio por persona;2021M07;19,21
Total;Tasa de variación anual;Gasto medio por persona;2021M06;66,70
Total;Tasa de variación anual;Gasto medio por persona;2021M05;..
Total;Tasa de variación anual;Gasto medio por persona;2021M04;..
Total;Tasa de variación anual;Gasto medio por persona;2021M03;1,69
Total;Tasa de variación anual;Gasto medio por persona;2021M02;5,04
Total;Tasa de variación anual;Gasto medio por persona;2021M01;-9,45
Total;Tasa de variación anual;Gasto medio por persona;2020M12;-7,76
Total;Tasa de variación anual;Gasto medio por persona;2020M11;-2,99
Total;Tasa de variación anual;Gasto medio por persona;2020M10;-22,79
Total;Tasa de variación anual;Gasto medio por persona;2020M09;-22,11
Total;Tasa de variación anual;Gasto medio por persona;2020M08;-12,99
Total;Tasa de variación anual;Gasto medio por persona;2020M07;-17,55
Total;Tasa de variación anual;Gasto medio por persona;2020M06;-40,22
Total;Tasa de variación anual;Gasto medio por persona;2020M05;-100,00
Total;Tasa de variación anual;Gasto medio por persona;2020M04;-100,00
Total;Tasa de variación anual;Gasto medio por persona;2020M03;1,89
Total;Tasa de variación anual;Gasto medio por persona;2020M02;1,72
Total;Tasa de variación anual;Gasto medio por persona;2020M01;3,44
Total;Tasa de variación anual;Gasto medio por persona;2019M12;1,19
Total;Tasa de variación anual;Gasto medio por persona;2019M11;0,93
Total;Tasa de variación anual;Gasto medio por persona;2019M10;2,77
Total;Tasa de variación anual;Gasto medio por persona;2019M09;1,74
Total;Tasa de variación anual;Gasto medio por persona;2019M08;2,72
Total;Tasa de variación anual;Gasto medio por persona;2019M07;3,16
Total;Tasa de variación anual;Gasto medio por persona;2019M06;0,09
Total;Tasa de variación anual;Gasto medio por persona;2019M05;1,89
Total;Tasa de variación anual;Gasto medio por persona;2019M04;1,11
Total;Tasa de variación anual;Gasto medio por persona;2019M03;0,60
Total;Tasa de variación anual;Gasto medio por persona;2019M02;-1,10
Total;Tasa de variación anual;Gasto medio por persona;2019M01;1,21
Total;Tasa de variación anual;Gasto medio por persona;2018M12;1,12
Total;Tasa de variación anual;Gasto medio por persona;2018M11;1,95
Total;Tasa de variación anual;Gasto medio por persona;2018M10;-0,39
Total;Tasa de variación anual;Gasto medio por persona;2018M09;0,11
Total;Tasa de variación anual;Gasto medio por persona;2018M08;3,26
Total;Tasa de variación anual;Gasto medio por persona;2018M07;3,81
Total;Tasa de variación anual;Gasto medio por persona;2018M06;2,77
Total;Tasa de variación anual;Gasto medio por persona;2018M05;1,82
Total;Tasa de variación anual;Gasto medio por persona;2018M04;1,97
Total;Tasa de variación anual;Gasto medio por persona;2018M03;2,12
Total;Tasa de variación anual;Gasto medio por persona;2018M02;2,90
Total;Tasa de variación anual;Gasto medio por persona;2018M01;0,94
Total;Tasa de variación anual;Gasto medio por persona;2017M12;0,31
Total;Tasa de variación anual;Gasto medio por persona;2017M11;3,00
Total;Tasa de variación anual;Gasto medio por persona;2017M10;4,28
Total;Tasa de variación anual;Gasto medio por persona;2017M09;0,82
Total;Tasa de variación anual;Gasto medio por persona;2017M08;6,37
Total;Tasa de variación anual;Gasto medio por persona;2017M07;5,30
Total;Tasa de variación anual;Gasto medio por persona;2017M06;2,98
Total;Tasa de variación anual;Gasto medio por persona;2017M05;1,82
Total;Tasa de variación anual;Gasto medio por persona;2017M04;3,57
Total;Tasa de variación anual;Gasto medio por persona;2017M03;4,04
Total;Tasa de variación anual;Gasto medio por persona;2017M02;3,73
Total;Tasa de variación anual;Gasto medio por persona;2017M01;2,99
Total;Tasa de variación anual;Gasto medio por persona;2016M12;5,58
Total;Tasa de variación anual;Gasto medio por persona;2016M11;-0,52
Total;Tasa de variación anual;Gasto medio por persona;2016M10;5,23
Total;Tasa de variación anual;Gasto medio por persona;2016M09;0,71
Total;Tasa de variación anual;Gasto medio por persona;2016M08;-2,08
Total;Tasa de variación anual;Gasto medio por persona;2016M07;-2,03
Total;Tasa de variación anual;Gasto medio por persona;2016M06;-0,11
Total;Tasa de variación anual;Gasto medio por persona;2016M05;0,33
Total;Tasa de variación anual;Gasto medio por persona;2016M04;-6,60
Total;Tasa de variación anual;Gasto medio por persona;2016M03;-5,21
Total;Tasa de variación anual;Gasto medio por persona;2016M02;-5,20
